symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
1,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
2,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi
2,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi
2,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi
1,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi
1,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi
1,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
2,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi
0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
1,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
2,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl
1,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
0,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
1,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,turbo,four,sedan,fwd,front,ohc,four,mpfi
-1,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl
3,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl
0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi
1,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl
0,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl
