sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,schoolsup,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,stress
F,18,GT3,A,4,4,at_home,teacher,mother,2,yes,no,no,no,no,no,4,3,4,3,6,5,6,6,0
F,17,GT3,T,1,1,at_home,other,father,2,no,yes,no,no,yes,no,5,3,3,3,4,5,5,6,0
F,15,LE3,T,1,1,at_home,other,mother,2,yes,no,yes,no,yes,no,4,3,2,3,10,7,8,10,0
F,15,GT3,T,4,2,health,services,mother,3,no,yes,yes,yes,yes,yes,3,2,2,5,2,15,14,15,0
F,16,GT3,T,3,3,other,other,father,2,no,yes,yes,no,no,no,4,3,2,5,4,6,10,10,0
M,16,LE3,T,4,3,services,other,mother,2,no,yes,yes,yes,yes,no,5,4,2,5,10,15,15,15,0
M,16,LE3,T,2,2,other,other,mother,2,no,no,no,no,yes,no,4,4,4,3,0,12,12,11,0
F,17,GT3,A,4,4,other,teacher,mother,2,yes,yes,no,no,no,no,4,1,4,1,6,6,5,6,0
M,15,LE3,A,3,2,services,other,mother,2,no,yes,yes,no,yes,no,4,2,2,1,0,16,18,19,0
M,15,GT3,T,3,4,other,other,mother,2,no,yes,yes,yes,yes,no,5,5,1,5,0,14,15,15,0
F,15,GT3,T,4,4,teacher,health,mother,2,no,yes,yes,no,yes,no,3,3,3,2,0,10,8,9,1
F,15,GT3,T,2,1,services,other,father,3,no,yes,no,yes,yes,no,5,2,2,4,4,10,12,12,0
M,15,LE3,T,4,4,health,services,father,1,no,yes,yes,yes,yes,no,4,3,3,5,2,14,14,14,0
M,15,GT3,T,4,3,teacher,other,mother,2,no,yes,yes,no,yes,no,5,4,3,3,2,10,10,11,0
M,15,GT3,A,2,2,other,other,other,3,no,yes,no,no,yes,yes,4,5,2,3,0,14,16,16,0
F,16,GT3,T,4,4,health,other,mother,1,no,yes,no,no,yes,no,4,4,4,2,4,14,14,14,0
F,16,GT3,T,4,4,services,services,mother,3,no,yes,yes,yes,yes,no,3,2,3,2,6,13,14,14,0
F,16,GT3,T,3,3,other,other,mother,2,yes,yes,no,yes,no,no,5,3,2,4,4,8,10,10,0
M,17,GT3,T,3,2,services,services,mother,1,no,yes,no,yes,yes,no,5,5,5,5,16,6,5,5,1
M,16,LE3,T,4,3,health,other,father,1,no,no,yes,yes,yes,no,3,1,3,5,4,8,10,10,0
M,15,GT3,T,4,3,teacher,other,mother,2,no,no,no,no,yes,no,4,4,1,1,0,13,14,15,0
M,15,GT3,T,4,4,health,health,father,1,no,yes,yes,no,yes,no,5,4,2,5,0,12,15,15,0
M,16,LE3,T,4,2,teacher,other,mother,2,no,no,no,yes,yes,no,4,5,1,5,2,15,15,16,0
M,16,LE3,T,2,2,other,other,mother,2,no,yes,no,yes,yes,no,5,4,4,5,0,13,13,12,0
F,15,GT3,T,2,4,services,health,mother,3,yes,yes,yes,yes,yes,no,4,3,2,5,2,10,9,8,1
