                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3138,                 4.8815,                 1.5898,                0.43511,                0.02857,                0.01314,                0.00362,                 1.9407,                 4.7287,                 1.5609,                 0.0937,                 0.0007,                 0.0007
                      1,                  2.107,                  3.633,                 1.4838,                0.37269,                0.26667,                 0.2329,                 0.1113,                 1.7177,                 3.6209,                  1.459,               0.086441,              0.0014406,              0.0014406
                      2,                 1.9595,                 2.5236,                 1.3868,                0.87004,                0.31579,                0.41531,                  0.209,                 1.6403,                 2.6109,                 1.4371,               0.079118,              0.0021178,              0.0021178
                      3,                  1.888,                 1.9658,                 1.3219,                0.73722,                0.37458,                0.45028,                0.25711,                 1.5409,                 3.0468,                 1.4006,               0.071732,              0.0027317,              0.0027317
                      4,                 1.7204,                  1.593,                 1.2667,                0.60777,                 0.5018,                0.58663,                0.29968,                 1.5256,                 2.4052,                  1.379,               0.064282,              0.0032822,              0.0032822
                      5,                 1.6799,                 1.4084,                 1.2157,                0.63376,                0.65705,                0.64735,                0.34242,                 1.4662,                 1.7327,                 1.3512,               0.056769,              0.0037694,              0.0037694
                      6,                 1.6295,                 1.3674,                 1.2325,                 0.7267,                0.61399,                0.70798,                0.40737,                 1.3926,                 1.5511,                 1.2472,               0.049193,              0.0041932,              0.0041932
                      7,                 1.6062,                  1.282,                 1.1713,                0.64736,                0.72175,                0.71781,                0.39824,                 1.4219,                 1.4561,                 1.2551,               0.041554,              0.0045536,              0.0045536
                      8,                 1.5849,                 1.2184,                 1.1601,                0.67442,                0.69002,                0.72352,                 0.4102,                 1.4152,                 1.4607,                 1.2481,               0.033851,              0.0048507,              0.0048507
                      9,                 1.5716,                 1.1553,                 1.1858,                0.68405,                0.76938,                0.77215,                0.46707,                 1.3553,                 1.2056,                 1.2077,               0.026084,              0.0050844,              0.0050844
                     10,                 1.6031,                 1.2131,                 1.1618,                0.76888,                0.76511,                0.79131,                0.45946,                 1.3649,                 1.1776,                 1.1847,               0.018255,              0.0052548,              0.0052548
                     11,                 1.5402,                 1.0469,                 1.1194,                0.73963,                0.69765,                0.74077,                0.43622,                 1.3355,                 1.2656,                 1.1759,               0.010362,              0.0053618,              0.0053618
                     12,                 1.5369,                 1.0555,                 1.1157,                0.82437,                0.72082,                0.77269,                0.47686,                 1.3276,                 1.1807,                 1.1911,               0.005248,               0.005248,               0.005248
                     13,                 1.4931,                0.96413,                 1.0977,                0.66719,                0.82136,                0.78813,                0.44393,                 1.3624,                 1.1478,                 1.1901,               0.005248,               0.005248,               0.005248
                     14,                 1.4768,                0.98082,                 1.0949,                0.85698,                0.79676,                0.85139,                0.49708,                 1.3459,                 1.0943,                 1.1679,               0.004852,               0.004852,               0.004852
                     15,                 1.4445,                 1.0872,                 1.0665,                0.70374,                0.75263,                  0.778,                0.45832,                 1.4043,                 1.2646,                 1.2065,               0.004456,               0.004456,               0.004456
                     16,                 1.4321,                0.93581,                 1.0798,                0.75987,                0.77204,                0.79122,                0.45725,                 1.3649,                 1.2129,                 1.1964,                0.00406,                0.00406,                0.00406
                     17,                 1.3891,                0.90012,                 1.0873,                0.84331,                0.76354,                0.82648,                0.44856,                 1.4587,                 1.1431,                 1.2262,               0.003664,               0.003664,               0.003664
                     18,                 1.3873,                0.88091,                 1.0626,                0.85488,                0.72483,                0.83008,                 0.4807,                 1.4146,                 1.1442,                 1.2051,               0.003268,               0.003268,               0.003268
                     19,                  1.354,                0.85348,                 1.0545,                0.89868,                0.72955,                0.84495,                0.49902,                 1.3598,                 1.0814,                  1.166,               0.002872,               0.002872,               0.002872
                     20,                 1.3509,                0.79332,                  1.032,                 0.9019,                0.71357,                0.85178,                 0.4866,                 1.3882,                 1.0681,                 1.1801,               0.002476,               0.002476,               0.002476
                     21,                 1.3033,                0.75896,                 1.0306,                0.84421,                0.83915,                0.87921,                0.50051,                  1.411,                 1.0047,                 1.1845,                0.00208,                0.00208,                0.00208
                     22,                 1.3312,                0.80033,                 1.0485,                0.86193,                0.79105,                0.86447,                0.49867,                 1.4089,                0.96087,                 1.1813,               0.001684,               0.001684,               0.001684
                     23,                 1.2826,                0.72671,                 1.0162,                0.83434,                0.81658,                0.87117,                0.49381,                  1.412,                0.97106,                 1.1804,               0.001288,               0.001288,               0.001288
                     24,                 1.2705,                0.76312,                 1.0392,                0.87374,                0.77309,                0.86433,                0.49097,                 1.4131,                0.99829,                 1.1866,               0.000892,               0.000892,               0.000892
