N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,M3,userId,productId,Rating
0.0001,0.0001,0.0001,0.0001,10.53390403,0.02,0.0001,0.001,0.0001,5.5e-05,0.0200275,0.004033,0.00011999999999999999,0.020175,STOP,A2CX7LUOHB2NDG,321732944,5
0.0001,0.0001,0.649087802,10.53380403,10.53390403,0.2,0.0001,0.0001,9.49e-06,3.686851411,2.043425705,2.252110846,2.755848608,6.642700018999999,RAISE,A2NWSAGRHCP8N5,439886341,1
0.0201,0.0011,1.034308225,9.884816224,10.53390403,0.012323901000000002,0.4001,0.3001,0.06161892099999999,3.463705678,1.74417674,2.080688187,3.01127147,6.487301049,RAISE,A2WNBOD3WNDNKT,439886341,3
0.0401,0.0021,1.751680904,9.499595801,10.53390403,0.020927212,0.8001,0.6001,0.098188499,3.33287853,1.6873664769999999,2.003912561,3.6516000639999997,7.005405807000001,RAISE,A1GI0U4ZRJA8WN,439886341,1
0.0391,0.0031,1.967624957,8.782223122000001,10.53390403,0.036879062000000004,1.2001,0.9001,0.166289811,3.081598093,1.5776781080000002,1.8563346680000001,3.724069581,6.842546736,RAISE,A1QGNMC6O1VW39,511189877,5
0.0381,0.0041,2.871807084,8.566279069,10.53390403,0.044809268,1.6001,1.2001,0.186789717,3.0058176739999998,1.547718105,1.812452458,4.585062898,7.63568984,RAISE,A3J3BRHTDRFJ2G,511189877,2
0.0371,0.0051,3.35589153,7.662096942000001,10.53390403,0.067049113,2.0001,1.5001,0.272625142,2.68915393,1.411626078,1.62690218,4.888310918,7.644513961,RAISE,A2TY0BTJOTENPG,511189877,5
0.0361,0.0061,3.8982520289999996,7.178012496,10.53390403,0.08759720900000001,2.4001,1.8001,0.318580037,2.519524374,1.3473593959999999,1.529234066,5.333854528,7.940976111,RAISE,A34ATBPOK6HCHY,511189877,5
0.0351,0.0071,4.8440422960000005,6.635651997,10.53390403,0.108616474,2.8001,2.1001,0.37006716799999995,2.329498199,1.273365573,1.4194222140000001,6.171172695,8.609287368,RAISE,A89DO69P0XZ27,511189877,5
0.0341,0.0081,4.876059222,5.68986173,10.53390403,0.14600049199999998,3.2001,2.4001,0.459852518,1.9982716059999999,1.145136295,1.2281630620000001,6.014031567999999,8.158303666,RAISE,AZYNQZ94U6VDB,511189877,5
0.0331,0.0091,5.462252895,5.657844804,10.53390403,0.17139464699999998,3.6001,2.7001,0.462891935,1.986865681,1.164827488,1.2263983379999999,6.593821856,8.752082183999999,RAISE,A1DA3W4GTFXP6O,528881469,5
0.0321,0.0101,6.10496842,5.071651131,10.53390403,0.19308599199999998,4.0001,3.0001,0.5185402179999999,1.7814978959999999,1.08383494,1.107515936,7.119298646,9.093882534,RAISE,A29LPQQDG7LD5J,528881469,1
0.0311,0.0111,6.467710867,4.4289356060000005,10.53390403,0.240748753,4.4001,3.3001,0.579554209,1.556347462,1.018922484,0.981958228,7.353497987999999,9.150594202999999,RAISE,AO94DHGC771SJ,528881469,5
0.0301,0.0121,6.608248849,4.066193159,10.53390403,0.292066151,4.8001,3.6001,0.613989918,1.429187606,1.006659954,0.9159257940000001,7.421487481000001,9.142741237000001,RAISE,AMO214LNFCEI4,528881469,1
0.0291,0.0131,6.8450843710000004,3.925655177,10.53390403,0.325033691,5.2001,3.9001,0.627331408,1.3797993119999998,1.014933347,0.892886325,7.6302154060000005,9.335048409,RAISE,A28B1G1MSJ6OO1,528881469,4
0.0281,0.0141,7.0827953070000005,3.688819655,10.53390403,0.348735896,5.6001,4.2001,0.649814575,1.296706879,0.9970893359999999,0.847771307,7.8205592379999995,9.466002012999999,RAISE,A3N7T0DY83Y4IG,528881469,3
0.0271,0.0151,7.633308751,3.45110872,10.53390403,0.38401418200000004,6.0001,4.5001,0.672380847,1.2133080520000001,0.990668208,0.804787668,8.323530495,9.920852729,RAISE,A1H8PY3QHMQQA0,528881469,2
0.0261,0.0161,8.425218753,2.900595275,10.53390403,0.442368489,6.4001,4.8001,0.72464195,1.0204283459999999,0.9525826620000001,0.700730706,9.005337808,10.46813464,RAISE,A2CPBQ5W4OGBX,528881469,2
0.0251,0.0171,9.086627859,2.1086852730000003,10.53390403,0.5809303229999999,6.8001,5.1001,0.7998192059999999,0.743059846,0.9524602459999999,0.562021972,9.508364914,10.83235508,RAISE,A265MKAR2WEH3Y,528881469,4
0.0241,0.0181,9.16207017,1.4472761680000001,10.53390403,0.86182874,7.2001,5.4001,0.8626078079999999,0.511366659,1.117512069,0.479185743,9.451525404,10.824720800000001,RAISE,A37K02NKUIT68K,528881469,5
0.0241,0.0191,9.987428315,1.3718338559999999,10.53390403,1.266112215,7.6001,5.7001,0.8697696640000001,0.48496185,1.50859314,0.544199553,10.26179509,12.01286915,RAISE,A2AW1SSVUIYV9Y,528881469,4
0.0241,0.0201,1.3082639409999999,0.546475711,10.53390403,1.456069665,8.0001,6.0001,0.948122205,0.196086499,1.554112914,0.40886583200000004,1.4175590830000002,3.069715247,RAISE,A2AEHUKOV014BP,528881469,5
0.0441,0.0211,2.08194834,9.225640085,10.53390403,0.478800399,8.4001,6.3001,0.124195544,3.23779403,2.097697414,2.0384364980000003,3.927076357,7.643670786,RAISE,AMLFNXUIEMN4T,528881469,1
0.0641,0.0221,3.066217286,8.451955686,10.53390403,0.04513396,8.8001,6.6001,0.197642615,2.97100449,1.530636205,1.791629486,4.756608423,7.772746872999999,RAISE,A2O8FIJR9EBU56,528881469,4
0.0631,0.0231,3.693069424,7.46768674,10.53390403,0.072556398,9.2001,6.9001,0.291080807,2.626310359,1.3857115780000002,1.590297495,5.186606772,7.8854735289999995,RAISE,A3IQGFB959IR4P,528881469,1
0.0621,0.0241,3.879600387,6.840834602,10.53390403,0.09890799,9.6001,7.2001,0.35058886200000006,2.406712111,1.302264045,1.463808864,5.247767307,7.753387407999999,RAISE,AYTBGUX49LF3W,528881469,4
0.0611,0.0251,4.870508755,6.654303639,10.53390403,0.11342476800000001,10.0001,7.5001,0.36829653799999995,2.3412262740000003,1.284037905,1.427420718,6.201369483,8.656020524,RAISE,A24QFSUU00IZ05,528881469,2
0.0601,0.0261,5.515189386,5.663395271000001,10.53390403,0.14638673,10.4001,7.8001,0.462365021,1.994208345,1.143490902,1.225802353,6.64786844,8.788463515,RAISE,A1NG5X8VYZWX0Q,528881469,1
0.0591,0.0271,6.450048516,5.01871464,10.53390403,0.194766183,10.8001,8.1001,0.523565562,1.768370124,1.078951245,1.099975311,7.453791444,9.416927751000001,RAISE,A1E4WG8HRWWK4R,528881469,5
0.0581,0.0281,7.095778473999999,4.08385551,10.53390403,0.257039859,11.2001,8.4001,0.6123132029999999,1.4409694290000001,0.977524573,0.915989629,7.912549576,9.610558864,RAISE,A2AOEW5UGXFOOQ,528881469,5
0.0571,0.0291,7.589431062,3.438125552,10.53390403,0.347503895,11.6001,8.7001,0.6736133590000001,1.214763943,0.954885867,0.798359145,8.277056172,9.839324011,RAISE,A2XSWV6AQI90BR,528881469,1
0.0561,0.0301,7.6626748870000005,2.9444729639999996,10.53390403,0.44148655700000006,12.0001,9.0001,0.720476572,1.041785537,0.962379326,0.7133686340000001,8.25156948,9.734841573999999,RAISE,AR84FMFYCQCWF,528881469,1
0.0551,0.0311,8.012647688,2.8712291389999995,10.53390403,0.520478536,12.4001,9.3001,0.727429723,1.0159501990000002,1.028453635,0.713665826,8.586893516,10.12332225,RAISE,A19TBA1WARJS55,528881469,2
0.0541,0.0321,9.008910876,2.5212563390000002,10.53390403,0.558133629,12.8001,9.6001,0.760653189,0.893259719,1.004763488,0.647582557,9.513162143999999,10.96455549,RAISE,A3C5SMBSKKWNPT,528881469,5
0.0531,0.0331,9.374085102999999,1.5249931509999999,10.53390403,0.7146366470000001,13.2001,9.9001,0.855230013,0.544367603,0.986820448,0.469547891,9.679083732999999,10.93808798,RAISE,A24EV6RXELQZ63,528881469,1
0.0521,0.0341,10.23584634,1.159818923,10.53390403,1.2293937320000001,13.6001,10.2001,0.8898965740000001,0.416356623,1.4375720440000002,0.49569272,10.46781012,12.11356048,RAISE,A3T6ZQONABIJSG,528881469,1
0.0511,0.0351,7.957427054,0.298057684,10.53390403,1.7650766230000001,14.0001,10.5001,0.9717049170000001,0.114540189,1.8223467180000001,0.42173943799999997,8.017038591,9.896655402999999,STOP,A132P6YSJSI5G2,528881469,2
0.0501,0.0361,8.639507172,2.576476972,10.53390403,5.339521487,0.0001,0.0001,0.7554110079999999,0.91178694,5.795414957,1.6149764619999998,9.154802566,15.40611099,RAISE,A1NQPG5IJ43HJI,558835155,3
0.0501,0.0371,8.669384187,1.894396854,10.53390403,0.670645014,0.4001,0.3001,0.820161941,0.673058899,1.007174463,0.537964342,9.048263558,10.39196747,RAISE,A2WOJCFAWI8VS8,059400232X,5
0.0501,0.0381,9.367198905,1.864519839,10.53390403,0.915265898,0.8001,0.6001,0.822998213,0.6626019439999999,1.24656687,0.5806143460000001,9.740102873,11.31797071,RAISE,A22FB2WSZSXSHH,059400232X,5
0.0501,0.0391,9.409259742,1.166705121,10.53390403,1.004784042,1.2001,0.9001,0.889242856,0.41836679200000004,1.213967438,0.45197688399999997,9.642600766000001,11.0657516,RAISE,AZQZ3STMCBG5H,059400232X,5
0.0501,0.0401,9.826152687,1.1246442840000002,10.53390403,1.612962791,1.6001,1.2001,0.893235757,0.40364549899999996,1.814785541,0.564779858,10.05108154,12.06768983,RAISE,A2EGPA22UHMQXL,594012015,1
0.0701,0.0411,10.79598956,0.7077513390000001,10.53390403,1.74742411,2.0001,1.5001,0.932812057,0.261732969,1.878290594,0.506524603,10.93753983,12.94669691,RAISE,AC57CU3TF6ZMJ,594012015,5
0.0901,0.0421,9.214141991,-0.262085539,10.53390403,3.05078605,2.4001,1.8001,1.02488019,-0.073709939,3.0139310810000004,0.5659312470000001,9.161724883,12.13880099,STOP,A2YX0Z6RHA8Y2H,594012015,1
0.0891,0.0001,9.701498118,1.319762035,10.53390403,-7.031400538,0.0001,0.0001,0.8747129240000001,0.479736712,-6.791532182,-1.11843808,9.965450525,3.4137866989999996,RAISE,A38T51B7J6QVD9,594012015,1
0.0881,0.0011,10.39474901,0.8324059079999999,10.53390403,1.470188997,0.4001,0.3001,0.9209784040000001,0.30896206800000003,1.624670031,0.47941504,10.56123019,12.34038126,RAISE,A1HOSS7PNC1LMU,594012015,1
0.0871,0.0021,0.760361884,0.139155021,10.53390403,2.497519276,0.8001,0.6001,0.9867897959999999,0.066124257,2.530581405,0.53917841,0.788192888,3.351836422,HOLD,A9HI77BE35VYE,594012015,1
