id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12598446,Spacious 4bdrm next to CentralPk,5162192,Amy,Manhattan,Upper West Side,40.7986,-73.96229,Entire home/apt,275,30,4,09-01-2019,0.15,12,199
13585495,Great room in amazing Little Italy location!,15960548,Nathan,Manhattan,Little Italy,40.71955,-73.99707,Private room,110,2,1,14-09-2016,0.03,1,0
27761683,"Clean Cozy Room, Queens-5 min walk to subway (R/M)",199524563,Bei,Queens,Rego Park,40.72678,-73.86218,Private room,55,2,25,22-06-2019,2.37,3,38
14200678,Charming 1 bdr apt. just 17 mins from MANHATTAN!,557669,Ryan,Queens,Woodside,40.74663,-73.89653,Entire home/apt,96,2,1,08-08-2016,0.03,1,0
24540935,A Beach House in Brooklyn,51068857,Derek,Brooklyn,Bedford-Stuyvesant,40.68297,-73.95251,Private room,80,1,0,,,1,5
27250227,Artist Retreat Private Single,134521683,Kathy,Manhattan,East Village,40.72401,-73.98154,Private room,50,30,3,14-06-2019,0.3,2,34
846549,New York City Dream Apartment,4420306,Luis Alejandro,Brooklyn,Bedford-Stuyvesant,40.68941,-73.95247,Private room,60,2,2,02-08-2015,0.04,1,0
10267242,Cinque Terre Room.  Clean and Quiet Queen Bedroom,2787,John,Brooklyn,Gravesend,40.6081,-73.97541,Private room,149,1,24,11-05-2019,0.64,6,180
8826129,Private bedroom Private Living Room,46230558,Joseph,Queens,Glendale,40.70302,-73.89499,Private room,115,2,0,,,1,0
35521170,Small cozy bedroom in the heart of Manhattan.,254015746,Niki,Manhattan,Midtown,40.7459,-73.98663,Private room,280,2,1,15-06-2019,1,1,363
26056703,"West 33rd street, Lux 1bd Serviced Apartment",22541573,Ken,Manhattan,Chelsea,40.75233,-73.9941,Entire home/apt,259,30,0,,,87,357
1614869,"Cute, quirky Park Slope Jr 1 bdroom",1254489,Randy,Brooklyn,Park Slope,40.67477,-73.97404,Entire home/apt,142,4,41,18-06-2019,0.58,1,151
4760085,Roomy/sunny/quiet/fun/great locale,24561040,Ame,Brooklyn,Park Slope,40.67851,-73.97678,Private room,95,2,132,23-06-2019,2.7,3,265
21677637,Spacious studio in Harlem New York,85945543,Victor,Manhattan,Harlem,40.81223,-73.93992,Entire home/apt,200,3,0,,,1,0
4194494,Unique Full-Floor 2br/2bath in the Heart of SoHo,10367443,J,Manhattan,SoHo,40.72149,-73.99815,Entire home/apt,900,3,10,30-12-2018,0.17,1,0
36372104,Exposed Brick,32303395,Roderick,Brooklyn,Bedford-Stuyvesant,40.6858,-73.92899,Private room,120,2,0,,,1,6
4845237,East Village Beauty,12485770,Raanan,Manhattan,East Village,40.72829,-73.98072,Entire home/apt,110,30,8,14-08-2018,0.18,9,280
25167654,Charming sunny Bushwick bedroom,3667601,Olivier,Brooklyn,Bushwick,40.68942,-73.90918,Private room,78,2,51,29-06-2019,3.74,1,9
27363454,Entire apartmen on Sheepshead Bay,23341244,Oxana,Brooklyn,Sheepshead Bay,40.59356,-73.95869,Entire home/apt,64,30,0,,,1,0
23293483,20 w 53Rd st full furnished 2BR,53179388,Raymond,Manhattan,Midtown,40.76126,-73.97628,Entire home/apt,500,180,0,,,10,363
21843831,"Cosy space,  30 min to Manhattan 15 Barclay Center",94214493,Dadrine,Brooklyn,East Flatbush,40.65532,-73.91793,Private room,80,7,1,18-04-2019,0.36,9,364
22409448,Premier Garden Suite near Columbia University,9470468,Zeleke,Manhattan,Harlem,40.80815,-73.95399,Entire home/apt,120,3,20,05-07-2019,4.96,1,55
21368441,"Spacious Duplex Loft Apt, Dtwn Bklyn, Near TRAINS",120574445,Kay,Brooklyn,Boerum Hill,40.68497,-73.97986,Entire home/apt,200,3,45,02-07-2019,2.29,1,3
15817291,Cozy Quiet Room in the Big Apple on Broadway!!!,102383709,Mark & Will,Manhattan,Harlem,40.82914,-73.94736,Private room,69,4,153,01-07-2019,4.74,2,125
16341416,Sunny room in BK for your NYC stay!,40146897,Eric,Brooklyn,Crown Heights,40.67306,-73.92334,Private room,49,2,34,04-06-2019,1.11,5,29
36130876,Kosy apt w modern new furniture in the heart of NY,7441368,Chris And Jamie,Manhattan,Hell's Kitchen,40.75584,-73.99304,Entire home/apt,175,1,0,,,2,270
12136198,5th ave/Broadway near Empire State,65143341,Noel,Manhattan,Midtown,40.74771,-73.98727,Entire home/apt,139,1,186,24-06-2019,4.68,1,230
30101694,New york Multi-unit building,4750332,Ofer,Manhattan,Hell's Kitchen,40.75884,-73.99208,Entire home/apt,800,180,0,,,1,358
27437662,New York Apartment,206774126,Brene,Manhattan,Harlem,40.82788,-73.93905,Entire home/apt,85,15,0,,,1,0
4334513,1 bed/bath condo steps from Bedford,2357221,Swati,Brooklyn,Williamsburg,40.71104,-73.95917,Entire home/apt,150,5,1,02-01-2015,0.02,1,0
24853574,The Amazing Stay,187872824,Erik,Manhattan,Upper West Side,40.80013,-73.95907,Entire home/apt,150,1,6,19-06-2018,0.43,2,179
31100244,Private 2BR w/washer/dryer/balcony in Bushwick,95205457,Teddy,Brooklyn,Bushwick,40.69472,-73.92574,Entire home/apt,249,2,6,24-06-2019,0.98,1,0
17079313,YOUR DREAM SUITE IN MANHATTAN,114477998,Marilyn,Manhattan,East Harlem,40.78966,-73.94232,Private room,103,1,149,22-06-2019,5.06,4,215
31707882,"Park Slope, Beautiful New Apartment",237817180,Sandra,Brooklyn,Park Slope,40.67378,-73.98299,Entire home/apt,285,5,9,18-06-2019,1.86,1,2
17642625,Lovely APT in the Heart of Bushwick!,21877498,Andy,Brooklyn,Bushwick,40.7012,-73.92876,Entire home/apt,125,3,0,,,2,0
13800652,Room on a quiet tree-lined block of Manhattan,45992029,Sarah,Manhattan,Harlem,40.82225,-73.94549,Private room,55,1,3,13-07-2016,0.08,1,0
18499074,Cozy spacious rooms with natural sunlight,127714840,Guy,Brooklyn,Bedford-Stuyvesant,40.68144,-73.93429,Private room,80,5,11,30-06-2019,0.9,1,340
21358930,"Spacious Room by Subway! JFK 10min,Manhattan 30min",131476068,Leslie,Queens,Richmond Hill,40.6868,-73.82896,Private room,83,2,16,03-03-2019,0.77,2,42
2392296,"A Simple, Calm Space",10510181,Août,Bronx,Kingsbridge,40.88437,-73.89746,Shared room,32,2,6,22-09-2016,0.16,1,83
31719001,Nice place for three people.,3767367,Regina,Manhattan,Upper West Side,40.79397,-73.972,Private room,80,3,7,02-07-2019,2.47,3,334
31435734,"Sharp UES 1BR w/Indoor pool, Doorman + City views by Blueground",107434423,Blueground,Manhattan,Upper East Side,40.77463,-73.94972,Entire home/apt,307,30,0,,,232,249
11221362,Private room in the hearth of NYC,58467654,Thomas,Manhattan,Midtown,40.75771,-73.96872,Private room,90,3,3,02-01-2017,0.07,1,0
20355009,The Enchanted Pearl Bed & Breakfast ️,142289760,Janae,Manhattan,Harlem,40.81698,-73.93968,Private room,70,1,9,12-11-2017,0.39,1,89
23453013,Studio Near Times Square,2416454,Gen,Manhattan,Hell's Kitchen,40.76,-73.98962,Entire home/apt,175,3,4,28-07-2018,0.26,1,0
25602541,High Ceiling Loft in Flatiron (3 mins to Subway),192997396,Nati,Manhattan,Kips Bay,40.74029,-73.98337,Entire home/apt,185,1,23,27-06-2019,1.87,1,133
1042806,My Other Little Guestroom,2680820,Linda,Queens,Flushing,40.75334,-73.81699,Private room,59,1,281,11-06-2019,3.7,3,322
33388629,U W S Sunny Queen size bedroom near Columbia UNI*,248314431,David,Manhattan,Upper West Side,40.79658,-73.96118,Private room,75,1,8,14-06-2019,2.64,2,75
