userid,Ucredit,Ureview,Web_review,consecutive_usage,Exp_review,assigned _metric,assigned_rating,Product_1,rating_1,product_2,rating_2,product_3,rating_3
8e7cebf9a234c064b75016249f2ac65e,5,2,3,2.5,6.5, serendipity, high,77658,4.410466123,95858,4.271994874,115713,4.611921692
77c7d756a093150d4377720abeaeef76,7,4,6,5.5,4, all, default,94959,4.20728005,1247,4.266539716,953,4.211321797
b7e8a92987a530cc368719a0e60e26a3,4,3,4.5,2,2.5, serendipity, medium,110501,4.868064261,77658,4.71044351,101895,5.029360333
92561f21446e017dd6b68b94b23ad5b7,5.5,5.5,4,4.5,4, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861
030001ac2145a938b07e686a35a2d638,5.5,5.5,3.5,4.5,2.5, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861
f91b2fb085d0feb47b86fc81b10207ee,6,3,4,3.5,1.5, popularity, medium,2905,4.526371475,2843,4.456451341,3629,4.668443861
f7b0502be8c86203ce6acaffe59f993a,4.5,4,6,5,4, diversity, low,1289,4.221673173,3677,4.190383003,62336,4.294106919
36f31ef9879b4de96977aeba94878581,5.5,4.5,6,3,4, popularity, low,109243,4.30014587,103984,4.080162648,96829,4.06493611
653bb2f69ddd19e1cf1f9e1871916d71,5,5,5,5,3, diversity, high,91658,5.02128546,112552,4.796424131,110102,4.383820024
89d365a0d0f1a80ae8d079079a078155,6,6.5,2,2.5,3, diversity, high,91658,5.02128546,112552,4.796424131,110102,4.383820024
4d92401ed253aab37fa28a68d5d24d87,6.5,6.5,7,5.5,6.5, serendipity, high,111921,4.815901791,108727,4.619950776,103235,4.549528604
875afaef12d7872b644948db1bb3040a,2.5,6.5,7,7,4, diversity, low,1263,4.579791136,1090,4.561860522,1299,4.699069527
2507e0e5af7f4c6bef436c8cd0e90bc3,6.5,4,2.5,6,4, serendipity, high,108979,4.289740955,100553,4.471062268,99764,4.391395901
7500db258d55789ef86cbb29ffcb2016,7,3,2,3,1.5, diversity, high,104069,5.048893406,95858,5.032671729,104374,4.502898779
4d9071f72df26fe1d04196c8c6bb126e,5.5,5,6.5,5.5,6, popularity, medium,130518,4.428596074,129514,4.443222855,131724,4.452083371
67fc933eadbe711d020d3f3c2136b087,6,4,6,3,6, popularity, low,93006,4.092424211,27423,4.224041246,108548,4.191291111
a258fd42676ec2550796eeb1b0028ea0,5.5,3.5,3,6.5,2.5, serendipity, medium,100556,3.9430027,52604,4.08553378,44555,3.61334558
e0ae9890c58fcfe19c89b45f5871add2,5.5,6,4,3.5,1.5, popularity, low,108583,4.039876256,82173,4.222035734,97225,4.10985233
0c6e74d0739fb94e2f3c8e5605497bbd,6.5,4,3.5,3.5,4.5, popularity, low,108583,4.039876256,82173,4.222035734,97225,4.10985233
b6a8cb7e55cbf2c1bde7f2b252203272,5.5,2,2.5,6,2.5, diversity, low,904,3.97630769,908,3.911452816,3801,3.836817054
7211a6a66a5fc549e2d74dacfbb555b2,5.5,4,5.5,4.5,4.5, popularity, low,107978,4.072250642,106452,4.120046615,26674,4.126574247
2d274b0dd0a7fe38bb172aed02270a7c,6.5,5,5.5,5,5.5, popularity, medium,60069,4.644613572,2019,4.696044817,6016,4.604240631
428db88497a65655feb825365ad29a4a,7,4,5,5,3.5, all, default,1198,5.188502531,1136,5.195696383,1196,5.171172188
32babaf7d63853c83739e371efba6929,5,4,2,2.5,1.5, all, default,89759,5.001815903,96606,5.20283718,48738,4.823510252
183a0f30268fa6fda7b3609f8bcf0f44,6.5,2.5,3.5,5.5,4, serendipity, medium,1037,4.038130534,1035,3.706844281,4728,3.905473096
eefef5e8659f07c7ca44b300d51559d6,5,4,5.5,3.5,4.5, popularity, medium,130284,3.32985833,130454,3.330474854,128490,3.330510279
838c3893b7166571c97e796dcaf456d7,6,4,5.5,4,3.5, all, default,2858,5.033626977,4226,4.994783936,1193,4.9695902
