Products,Prod_id,Cust_id,Sales,Order_Quan,Profit,Shipping_Cost,Product_Base_Margin,Customer_Segment
COPIERS AND FAX,Prod_16,Cust_1088,10909.641,40,2616.46,22,0.57,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_1820,10607.641,27,2977.36,23.69,0.56,CORPORATE
PAPER,Prod_6,Cust_1659,754.641,13,29.8,8.9,0.37,SMALL BUSINESS
PAPER,Prod_6,Cust_622,572.641,22,92.78,10.99,0.39,SMALL BUSINESS
OFFICE MACHINES,Prod_17,Cust_564,10128.641,50,5133.68,20.5,0.36,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1388,10378.641,54,5504.1,27.99,0.56,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1052,11135.641,27,3317.67,17.5,0.59,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_346,11337.641,52,2800.43,20,0.6,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1440,10992.641,36,3553.31,16.2,0.55,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_444,10314.641,24,2954.96,21.69,0.57,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_513,9553.641,48,2736.56,20.03,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1457,8763.641,48,3671.13,24.8,0.56,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_113,10882.641,50,3624.16,19.08,0.55,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_710,11259.641,25,2786.66,23,0.8,CORPORATE
ENVELOPES,Prod_9,Cust_604,891.641,39,31.41,25.08,0.39,CORPORATE
COPIERS AND FAX,Prod_16,Cust_62,11214.641,55,4608.87,19.5,0.83,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1757,10410.641,18,2596.88,19.99,0.56,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_377,10549.641,23,3387.63,26.99,0.58,CORPORATE
COPIERS AND FAX,Prod_16,Cust_97,11167.641,24,2900.46,23.1,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1597,10124.641,49,3953.32,20.9,0.83,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1597,10416.641,33,3841.49,18.26,0.4,CORPORATE
PAPER,Prod_6,Cust_635,7486.641,31,3277.48,18.99,0.36,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1720,10478.641,18,2874.64,27.99,0.6,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1441,10551.641,23,3174.59,17.99,0.55,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1570,10003.641,57,4179.87,28.08,0.58,HOME OFFICE
PAPER,Prod_6,Cust_1237,10381.641,21,2852.23,15.99,0.36,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1679,11330.641,20,2647.06,12.99,0.56,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1679,10879.641,25,2964.21,27.78,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1430,10994.641,25,3245.36,16,0.59,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_1557,10780.641,53,3615.35,22.69,0.6,SMALL BUSINESS
PAPER,Prod_6,Cust_1021,10222.641,39,3265.45,14.9,0.38,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_974,11334.641,47,4593.26,16.26,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_445,10684.641,18,2696.76,24.81,0.84,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_487,10801.641,17,2403.26,18,0.58,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1771,10836.641,48,3287.89,22.99,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_145,10810.641,46,4018.87,15.99,0.81,CORPORATE
COPIERS AND FAX,Prod_16,Cust_932,10512.641,44,4618.96,21.99,0.55,HOME OFFICE
PAPER,Prod_6,Cust_662,10742.641,35,4210.3,16.25,0.36,CORPORATE
COPIERS AND FAX,Prod_16,Cust_215,10577.641,48,3181.93,26.99,0.58,CORPORATE
PAPER,Prod_6,Cust_188,8868.641,46,2659.79,16.81,0.36,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1464,11008.641,52,4883.58,23.9,0.55,CORPORATE
COPIERS AND FAX,Prod_16,Cust_402,10940.641,31,3213.33,15.99,0.57,HOME OFFICE
COMPUTER PERIPHERALS,Prod_8,Cust_1290,8960.641,18,2934,23.26,0.68,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_971,11009.641,42,3211.13,27.08,0.82,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1322,10980.641,53,3438.11,21.5,0.59,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1218,10646.641,14,2556.15,15.5,0.56,CORPORATE
COPIERS AND FAX,Prod_16,Cust_959,10176.641,27,3394.4,14.5,0.59,CORPORATE
COPIERS AND FAX,Prod_16,Cust_333,10782.641,12,2723.1,19,0.82,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_1303,10457.641,39,4061.47,15.5,0.56,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1228,11036.641,12,2408.83,21.5,0.57,CORPORATE
PAPER,Prod_6,Cust_1140,10063.641,40,3323.83,21.9,0.37,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_1654,10277.641,10,2673.09,21.5,0.84,SMALL BUSINESS
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1763,7982.641,49,3772.48,19.9,0.37,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_1763,10924.641,19,3129.02,28.8,0.39,CORPORATE
COPIERS AND FAX,Prod_16,Cust_258,11152.641,56,5564.13,27.99,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_232,10567.641,20,2703.01,24.99,0.57,CORPORATE
COPIERS AND FAX,Prod_16,Cust_214,11060.641,44,3510.6,18.25,0.83,CORPORATE
COPIERS AND FAX,Prod_16,Cust_214,11001.641,32,3065.07,19,0.84,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1699,10286.641,30,2708.7,20.5,0.55,CORPORATE
COPIERS AND FAX,Prod_16,Cust_490,11089.641,11,2710.61,17,0.59,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1490,11108.641,29,3877.51,18.2,0.56,CORPORATE
COPIERS AND FAX,Prod_16,Cust_1602,10280.641,38,3757.36,21.23,0.81,SMALL BUSINESS
COPIERS AND FAX,Prod_16,Cust_1274,10183.641,18,2534.67,28.99,0.84,HOME OFFICE
COPIERS AND FAX,Prod_16,Cust_1798,10216.641,25,3152.01,22.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1798,8758.641,11,2053.58,14.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1818,10760.641,31,3336.24,27.69,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1641,10135.641,14,2581.77,23.9,0.55,HOME OFFICE
PAPER,Prod_6,Cust_1641,9493.641,23,3428.65,19.25,0.37,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_931,7867.641,15,2380.59,24.2,0.55,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1579,8020.641,33,3957.18,18.26,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1579,8802.641,40,3544.97,17.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1474,11283.641,43,3956.99,21.99,0.58,CORPORATE
LABELS,Prod_12,Cust_1474,8837.641,34,3701.41,27.99,0.38,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1474,8602.641,19,2690.05,20.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1749,7344.641,19,2253.63,23.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1749,10845.641,21,3618.34,18.79,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1758,9887.641,32,3211.67,25.99,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1820,8798.641,41,3443.4,21.5,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1820,7192.641,43,2890.03,11.99,0.83,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_45,8041.641,43,2891.58,28.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_18,8498.641,37,3729.68,25.99,0.81,CORPORATE
LABELS,Prod_12,Cust_18,7858.641,19,2996.04,16.3,0.38,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1800,10585.641,33,3790.28,20.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_933,11078.641,48,3384.2,27.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_933,11141.641,12,2974.23,12.99,0.55,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_933,10637.641,35,4249.97,15.99,0.38,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1422,7743.641,18,3011.9,21.5,0.8,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1423,7195.641,23,2809.1,24.92,0.59,SMALL BUSINESS
