EmployeeID,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome,Attrition
5110001,35,Rarely,Analytics,5,CA,Male,69,1,1,Executive,1,1,1,1,20,7,2,,M,18932,0
5110002,32,Yes,Sales,5,Statistics,Female,62,4,3,Executive,2,0,8,0,20,4,1,,Single,18785,1
5110003,31,Rarely,Analytics,5,Statistics,F,45,5,3,Manager,2,1,3,0,26,12,1,3,Single,22091,0
5110004,34,Yes,Sales,10,Statistics,Female,32,3,2,Manager,4,1,1,0,23,5,1,3,Divorsed,20302,0
5110005,37,No,Analytics,27,Statistics,Female,49,3,4,Manager,4,1,8,0,21,12,1,9,Divorsed,21674,0
5110006,34,Yes,Marketing,24,MBA,F,43,3,4,Senior Manager,5,1,9,1,20,11,0,2,Married,24950,1
5110007,35,Yes,Sales,1,Marketing Diploma,F,62,3,1,Senior Manager,3,1,1,0,19,10,0,8,Single,23789,0
5110008,26,Rarely,Sales,8,Marketing Diploma,Male,48,4,2,Manager,3,1,2,1,17,7,1,4,Single,21744,1
5110009,45,Yes,Analytics,5,CA,Male,58,3,3,Senior Manager,3,0,6,1,24,17,3,3,Single,26209,0
5110010,24,Rarely,Sales,4,Statistics,Female,65,3,3,Manager,3,1,9,0,19,4,2,0,Single,19577,1
5110011,41,No,Analytics,11,CA,Male,57,4,5,Senior Manager,4,1,3,0,17,17,5,9,Married,29757,0
5110012,37,Rarely,Analytics,1,Engineer,F,59,3,4,Senior Manager,2,0,4,0,22,12,1,2,Single,22491,0
5110013,28,Rarely,Analytics,11,Other,Female,59,3,1,Manager,3,0,3,0,18,10,1,7,Single,18660,0
5110014,34,Rarely,Analytics,,Statistics,Male,42,3,3,Executive,2,1,1,0,17,10,8,8,Divorsed,17691,0
5110015,31,Rarely,Sales,21,Statistics,Female,71,5,3,Manager,3,0,3,1,16,4,2,2,Divorsed,19559,1
5110016,46,Rarely,Marketing,6,CA,Male,80,3,2,Manager,4,1,8,1,27,16,0,2,Married,20021,0
5110017,33,Yes,Analytics,30,CA,Female,54,4,2,Manager,3,0,1,0,27,14,3,8,Single,19508,1
5110018,32,Rarely,Analytics,4,CA,Female,63,3,4,Manager,5,0,1,0,17,8,6,3,Divorsed,21725,0
5110019,33,Rarely,Analytics,,CA,Male,60,3,4,Executive,2,0,0,0,18,15,4,10,Divorsed,17781,0
5110020,,Rarely,Marketing,21,CA,Female,69,3,5,Executive,4,1,0,1,16,6,1,4,M,17148,1
5110021,,Rarely,Analytics,23,Statistics,Female,48,3,3,Executive,3,1,4,1,16,7,0,1,Divorsed,17132,1
5110022,47,Rarely,Analytics,3,CA,Female,65,3,2,Manager,1,0,5,0,18,20,0,4,Married,20070,0
5110023,,Rarely,Analytics,5,CA,Female,61,5,3,Executive,1,0,2,1,17,2,1,1,M,17129,0
5110024,33,Rarely,Analytics,3,Statistics,Male,68,3,3,Manager,4,0,2,0,23,11,1,10,Married,22220,0
5110025,41,Rarely,Sales,7,Marketing Diploma,Male,35,3,1,Senior Manager,3,1,1,0,17,10,8,7,Single,24241,0
5110026,47,Rarely,Sales,15,CA,Female,78,3,2,Manager,3,0,3,1,22,11,1,2,Divorsed,19591,0
5110027,34,Rarely,Analytics,17,CA,Female,74,3,3,Executive,4,1,2,0,19,9,2,,Divorsed,18756,0
5110028,51,Yes,Analytics,7,CA,Female,40,4,2,Executive,3,1,0,0,19,8,7,7,Single,17838,0
5110029,52,No,Analytics,20,CA,Male,41,3,5,Executive,2,1,0,0,23,5,1,2,Divorsed,19258,0
5110030,52,No,Sales,30,Statistics,Male,40,3,5,Executive,1,0,2,0,20,16,0,0,M,18482,0
5110031,39,Rarely,Sales,13,Marketing Diploma,Male,75,4,1,Senior Manager,3,0,1,1,20,10,3,8,Married,24740,0
5110032,36,Rarely,Analytics,15,Statistics,Male,68,3,5,Manager,1,1,0,1,22,17,4,11,Married,21586,0
5110033,53,Rarely,Sales,1,CA,F,34,3,3,Manager,5,1,7,0,,18,8,10,Single,23381,0
5110034,,Rarely,Sales,7,Marketing Diploma,Male,,3,4,Manager,3,0,2,1,25,13,4,5,Divorsed,17306,0
5110035,43,Rarely,Analytics,,CA,Female,72,1,5,Executive,3,1,1,0,17,6,1,4,M,17645,0
5110036,45,Rarely,Marketing,3,Statistics,F,52,4,4,Manager,3,0,5,0,17,11,1,3,Single,21985,0
5110037,36,Rarely,Analytics,1,Engineer,F,77,5,4,Senior Manager,5,1,2,1,26,17,7,7,Married,25252,0
5110038,51,Rarely,Analytics,5,CA,Male,66,3,5,AVP,3,0,6,0,22,31,1,4,Married,33639,0
5110039,20,Rarely,Sales,24,Other,Male,39,4,1,Executive,4,0,2,1,19,2,1,1,Single,18121,1
5110040,35,Yes,Sales,19,Marketing Diploma,Female,67,3,3,Manager,3,1,0,1,23,5,3,2,Divorsed,19614,1
5110041,34,Yes,Analytics,3,Statistics,F,70,3,4,Senior Manager,1,0,2,1,18,16,9,13,Single,29458,0
5110042,25,Rarely,Analytics,20,Statistics,Female,69,3,2,Executive,4,1,2,0,19,2,1,1,M,18210,1
5110043,43,Yes,Analytics,22,CA,Male,59,1,2,Executive,3,0,7,1,18,8,3,,M,18759,1
5110044,35,Yes,Analytics,3,CA,Female,37,3,5,Manager,4,0,5,0,16,10,1,2,Single,19425,0
5110045,50,Rarely,Analytics,11,Engineer,Male,80,4,5,Senior Manager,2,0,6,0,20,20,1,3,Single,25496,0
5110046,38,Rarely,Analytics,24,Statistics,Male,52,3,3,Manager,2,0,9,0,19,10,,2,Married,20745,0
5110047,34,Yes,Analytics,8,Statistics,Male,66,5,4,Manager,3,1,1,1,29,,0,6,Single,21074,1
5110048,,Rarely,Analytics,5,Statistics,Female,,3,1,Executive,3,0,1,0,24,1,0,0,Single,17318,0
5110049,57,Rarely,Analytics,25,Statistics,Male,53,2,4,Senior Manager,2,1,3,1,21,12,1,4,Married,24439,0
5110050,30,Rarely,Sales,13,Statistics,Male,61,3,4,Executive,3,0,2,0,17,2,1,1,Single,18642,0
5110051,,Rarely,Analytics,11,Statistics,Female,,4,4,Executive,4,0,2,0,18,2,1,1,Single,17261,1
5110052,40,Yes,Analytics,1,Statistics,Male,78,4,1,AVP,4,0,1,0,27,22,11,11,Divorsed,28503,0
5110053,31,Yes,Sales,,Statistics,Male,67,1,3,Executive,2,1,0,0,17,3,2,2,Divorsed,17791,0
5110054,43,Yes,Sales,27,Statistics,Male,62,3,3,AVP,2,1,1,1,17,25,4,12,Divorsed,31959,0
5110055,39,Rarely,Analytics,18,Statistics,Male,64,4,5,Senior Manager,2,1,1,1,20,13,3,10,Married,27510,0
5110056,32,Rarely,Analytics,10,CA,Female,41,3,3,Executive,5,1,7,0,27,10,0,4,Single,19200,1
5110057,34,Rarely,Sales,9,Engineer,Male,62,1,1,Manager,3,1,1,0,26,10,4,8,Married,21799,0
5110058,32,Rarely,Sales,3,Marketing Diploma,Male,52,4,4,Manager,4,0,7,1,17,7,2,2,Single,24907,1
5110059,,Rarely,Analytics,22,CA,Male,79,1,3,Executive,4,0,1,0,23,14,2,13,M,17028,0
5110060,34,Rarely,Analytics,9,CA,Male,52,1,1,Manager,3,0,2,0,17,6,1,2,Married,19404,0
5110061,,Rarely,Sales,3,Engineer,Male,,3,1,Executive,5,0,3,0,18,3,0,0,M,17322,0
5110062,29,Rarely,Sales,24,Statistics,F,45,4,5,Senior Manager,5,0,1,0,18,11,3,10,Divorsed,22336,1
5110063,42,No,Sales,13,CA,Male,42,5,5,Manager,4,0,2,0,19,20,12,10,Single,22151,0
5110064,44,Rarely,Sales,29,CA,F,53,1,1,AVP,1,1,3,1,23,23,11,11,Married,28320,0
5110065,32,Rarely,Analytics,1,Statistics,Male,62,4,3,Executive,3,1,0,1,19,4,1,,Single,18730,1
5110066,26,Rarely,Sales,1,Statistics,Male,57,3,5,Manager,3,1,1,0,22,8,7,7,Married,20296,0
5110067,26,Rarely,Analytics,22,CA,Male,69,3,3,Executive,1,1,4,0,17,8,2,3,Married,19669,0
5110068,34,Rarely,Analytics,3,Statistics,F,44,4,4,Manager,1,0,1,0,,7,2,5,Single,22949,0
5110069,29,Rarely,Analytics,4,CA,Male,63,4,5,Senior Manager,3,0,1,0,23,10,0,7,Divorsed,26935,0
5110070,35,Rarely,Analytics,13,Statistics,Male,55,3,5,Executive,4,1,2,0,20,2,2,1,M,18008,0
5110071,21,Yes,Sales,12,Marketing Diploma,,56,3,4,Executive,2,0,2,1,20,3,1,3,Single,18323,1
5110072,44,Yes,Analytics,30,Statistics,F,55,3,5,Senior Manager,5,1,9,0,17,19,1,2,Divorsed,26820,0
5110073,37,No,Analytics,26,CA,Female,72,3,1,Manager,3,1,3,1,20,15,10,7,Married,19449,0
5110074,39,Rarely,Analytics,32,CA,Male,72,3,2,Manager,5,1,8,1,,18,1,1,Married,22673,1
5110075,41,Rarely,Sales,24,Statistics,Male,80,3,3,Senior Manager,3,0,3,1,21,21,0,2,Single,22082,0
5110076,30,Rarely,Analytics,6,Engineer,Female,54,3,3,Executive,5,0,5,0,19,8,2,8,M,18204,0
5110077,40,Rarely,Sales,11,Marketing Diploma,Male,67,4,5,Senior Manager,4,1,2,0,17,11,0,0,Married,24705,0
5110078,41,Rarely,Sales,17,Statistics,Female,56,3,4,Manager,5,0,2,0,21,6,2,3,Married,20639,0
5110079,43,Yes,Analytics,10,CA,Male,72,3,5,Manager,3,0,3,1,18,10,4,7,Married,20679,0
